,hour,platform_os,no,date_2020-07-03,date_2020-07-04,date_2020-07-05,date_2020-07-06,date_2020-07-07,date_2020-07-08,date_2020-07-09,date_2020-07-10,auction_id,experiment,device_make,browser
1998,5,5,0,0,0,1,0,0,0,0,0,1998,0,267,8
8045,4,6,0,0,0,0,0,0,0,0,1,8045,1,46,2
796,15,6,0,1,0,0,0,0,0,0,0,796,0,132,6
3563,7,6,0,0,0,0,0,0,0,1,0,3563,0,171,14
4612,21,5,0,0,0,0,0,0,1,0,0,4612,0,267,8
365,7,6,0,0,0,0,0,0,1,0,0,365,0,46,2
5975,15,6,0,1,0,0,0,0,0,0,0,5975,0,46,2
1190,16,6,0,0,0,0,0,0,0,0,1,1190,0,46,2
7287,18,6,0,0,0,0,0,0,1,0,0,7287,0,46,2
5972,15,6,0,1,0,0,0,0,0,0,0,5972,0,46,2
3976,15,6,0,1,0,0,0,0,0,0,0,3976,0,46,2
3274,0,6,1,0,0,1,0,0,0,0,0,3274,1,46,2
4460,15,5,0,1,0,0,0,0,0,0,0,4460,0,267,8
4540,10,6,0,0,1,0,0,0,0,0,0,4540,1,46,2
4698,22,6,0,0,0,0,0,0,1,0,0,4698,0,186,14
5615,14,6,0,0,0,0,0,0,0,1,0,5615,1,83,3
7924,0,6,0,0,0,0,0,1,0,0,0,7924,0,46,2
1523,14,6,0,0,1,0,0,0,0,0,0,1523,0,46,2
6303,17,6,0,0,0,0,0,0,1,0,0,6303,0,46,2
2712,9,6,0,0,0,0,0,0,0,0,1,2712,1,46,2
3177,6,6,0,0,0,0,1,0,0,0,0,3177,1,46,2
1920,8,6,0,1,0,0,0,0,0,0,0,1920,1,78,3
4342,19,6,0,0,0,1,0,0,0,0,0,4342,0,177,6
1291,15,6,0,1,0,0,0,0,0,0,0,1291,0,46,2
4615,15,6,0,1,0,0,0,0,0,0,0,4615,0,46,2
727,6,6,0,0,0,0,1,0,0,0,0,727,0,46,2
5252,12,6,0,0,0,0,0,1,0,0,0,5252,1,217,3
